personnel_code,unit_code,weekly_duty_hours,consecutive_duty_days,leave_days_last_90,night_shift_ratio,deployment_months_last_year,transfer_count_last_2yr,training_load_hours,overdue_leave_flag,stress_level,mood,sleep_quality,fatigue_level,perceived_workload,burnout_index,stress_label,data_source
PID-00069,UNIT-24,64.0,5,13,0.32,2.8,1,9.7,False,2,3,4,3,3,0.436,0,SYNTHETIC_DEMO_DATA
PID-00070,UNIT-39,49.3,8,4,0.12,6.1,2,21.1,False,3,3,3,3,3,0.508,0,SYNTHETIC_DEMO_DATA
PID-00071,UNIT-28,34.1,6,3,0.3,3.3,2,30.6,False,2,3,4,4,3,0.541,0,SYNTHETIC_DEMO_DATA
PID-00072,UNIT-26,36.1,2,6,0.21,2.7,0,34.7,False,3,3,4,2,2,0.295,0,SYNTHETIC_DEMO_DATA
PID-00073,UNIT-05,39.1,6,14,0.4,5.7,2,8.5,False,3,3,3,3,2,0.392,0,SYNTHETIC_DEMO_DATA
PID-00074,UNIT-32,59.0,8,10,0.26,9.6,2,4.8,False,4,3,3,3,4,0.442,1,SYNTHETIC_DEMO_DATA
PID-00075,UNIT-35,54.0,5,8,0.3,1.1,1,20.6,False,3,4,4,3,2,0.445,0,SYNTHETIC_DEMO_DATA
PID-00076,UNIT-14,61.7,5,0,0.58,9.5,1,31.1,True,3,4,3,3,2,0.568,1,SYNTHETIC_DEMO_DATA
PID-00077,UNIT-07,46.0,8,2,0.02,3.3,1,23.6,False,2,3,2,3,3,0.481,0,SYNTHETIC_DEMO_DATA
PID-00078,UNIT-23,54.2,6,1,0.07,6.0,0,26.8,False,3,3,3,3,3,0.446,0,SYNTHETIC_DEMO_DATA
PID-00079,UNIT-38,60.8,8,16,0.12,9.8,2,6.4,False,3,3,3,3,4,0.509,0,SYNTHETIC_DEMO_DATA
PID-00080,UNIT-30,47.7,7,12,0.06,6.0,1,14.3,False,3,3,4,3,4,0.419,0,SYNTHETIC_DEMO_DATA
PID-00081,UNIT-33,58.4,7,3,0.15,4.1,1,0.0,False,4,3,4,4,3,0.527,0,SYNTHETIC_DEMO_DATA
PID-00082,UNIT-23,42.7,1,5,0.03,7.2,1,18.6,False,2,3,5,3,3,0.314,0,SYNTHETIC_DEMO_DATA
PID-00083,UNIT-17,46.9,5,4,0.12,4.5,3,0.0,False,3,2,2,4,3,0.49,0,SYNTHETIC_DEMO_DATA
PID-00084,UNIT-13,46.7,7,3,0.46,6.6,0,33.3,False,3,3,3,3,2,0.448,0,SYNTHETIC_DEMO_DATA
PID-00085,UNIT-33,35.3,8,11,0.11,4.4,0,35.5,False,2,2,4,3,1,0.311,0,SYNTHETIC_DEMO_DATA
PID-00086,UNIT-26,58.8,11,7,0.35,7.6,1,21.4,False,3,3,3,4,3,0.51,0,SYNTHETIC_DEMO_DATA
PID-00087,UNIT-30,45.4,10,21,0.53,0.8,1,4.9,False,3,3,4,3,3,0.472,0,SYNTHETIC_DEMO_DATA
PID-00088,UNIT-34,52.2,4,16,0.27,2.0,2,23.8,False,3,4,4,3,2,0.285,0,SYNTHETIC_DEMO_DATA
PID-00089,UNIT-40,58.7,5,16,0.06,0.8,4,38.6,False,3,4,4,2,3,0.372,0,SYNTHETIC_DEMO_DATA
PID-00090,UNIT-34,58.3,4,13,0.38,4.8,1,24.8,False,2,4,3,3,3,0.518,0,SYNTHETIC_DEMO_DATA
PID-00091,UNIT-18,61.3,2,6,0.1,0.4,2,31.8,False,3,3,4,3,3,0.46,0,SYNTHETIC_DEMO_DATA
PID-00092,UNIT-06,50.6,5,12,0.19,2.9,0,15.1,False,2,3,4,2,2,0.343,0,SYNTHETIC_DEMO_DATA
PID-00093,UNIT-23,46.1,3,6,0.56,1.7,1,11.3,False,3,3,3,2,3,0.468,0,SYNTHETIC_DEMO_DATA
PID-00094,UNIT-18,50.9,8,18,0.07,9.4,2,19.3,False,3,3,3,2,2,0.503,0,SYNTHETIC_DEMO_DATA
PID-00095,UNIT-38,30.0,4,11,0.33,2.0,0,0.7,False,3,3,5,2,3,0.247,0,SYNTHETIC_DEMO_DATA
PID-00096,UNIT-02,31.7,3,10,0.23,1.1,1,42.6,False,3,5,4,1,3,0.264,0,SYNTHETIC_DEMO_DATA
PID-00097,UNIT-35,33.5,8,9,0.25,5.7,3,21.4,False,3,3,4,3,2,0.493,0,SYNTHETIC_DEMO_DATA
PID-00098,UNIT-26,38.0,3,19,0.15,10.1,1,28.7,False,2,4,3,3,3,0.396,0,SYNTHETIC_DEMO_DATA
PID-00099,UNIT-03,57.6,5,0,0.5,4.7,1,15.4,False,2,2,3,3,3,0.501,1,SYNTHETIC_DEMO_DATA
PID-00100,UNIT-10,39.3,8,20,0.29,4.9,2,4.6,False,3,3,4,3,1,0.368,0,SYNTHETIC_DEMO_DATA
PID-00101,UNIT-03,46.7,7,7,0.41,8.9,1,34.3,False,4,2,2,2,3,0.508,1,SYNTHETIC_DEMO_DATA
PID-00102,UNIT-38,70.2,8,0,0.06,7.6,0,8.8,False,3,4,3,3,4,0.422,1,SYNTHETIC_DEMO_DATA
PID-00103,UNIT-26,47.0,8,4,0.01,6.3,2,23.5,False,2,3,3,3,2,0.55,0,SYNTHETIC_DEMO_DATA
PID-00104,UNIT-25,62.3,6,0,0.42,3.3,1,24.4,True,4,3,3,2,3,0.476,0,SYNTHETIC_DEMO_DATA
PID-00105,UNIT-21,38.9,5,12,0.28,6.4,2,20.7,False,3,3,3,2,2,0.429,0,SYNTHETIC_DEMO_DATA
PID-00106,UNIT-17,49.1,9,2,0.07,0.9,3,12.2,False,3,4,4,2,2,0.252,0,SYNTHETIC_DEMO_DATA
PID-00107,UNIT-07,38.7,3,10,0.37,3.1,1,18.5,False,2,3,4,3,2,0.343,0,SYNTHETIC_DEMO_DATA
PID-00108,UNIT-30,47.3,5,15,0.47,9.3,0,10.5,False,3,3,3,3,2,0.552,0,SYNTHETIC_DEMO_DATA
PID-00109,UNIT-06,63.8,4,4,0.19,8.9,2,28.1,False,4,3,2,3,3,0.555,1,SYNTHETIC_DEMO_DATA
PID-00110,UNIT-09,30.0,2,7,0.44,6.3,4,25.7,False,3,3,3,3,4,0.396,0,SYNTHETIC_DEMO_DATA
PID-00111,UNIT-40,58.1,5,1,0.47,0.0,1,19.8,False,2,3,3,3,3,0.492,1,SYNTHETIC_DEMO_DATA
PID-00112,UNIT-04,55.3,6,6,0.18,1.4,1,14.3,False,3,5,3,3,3,0.487,0,SYNTHETIC_DEMO_DATA
PID-00113,UNIT-39,43.7,8,24,0.48,3.0,1,41.1,False,2,5,4,2,3,0.354,0,SYNTHETIC_DEMO_DATA
PID-00114,UNIT-04,31.8,4,13,0.25,4.5,2,7.0,False,3,3,5,2,2,0.282,0,SYNTHETIC_DEMO_DATA
PID-00115,UNIT-20,53.0,7,7,0.44,1.2,0,4.6,False,3,3,3,3,2,0.515,0,SYNTHETIC_DEMO_DATA
PID-00116,UNIT-24,44.6,6,5,0.6,4.3,0,19.2,False,2,3,3,3,3,0.444,0,SYNTHETIC_DEMO_DATA
PID-00117,UNIT-05,55.3,8,8,0.11,10.3,1,17.4,False,2,4,3,4,3,0.591,0,SYNTHETIC_DEMO_DATA
PID-00118,UNIT-36,52.3,3,9,0.16,6.2,1,31.0,False,3,3,3,3,3,0.47,0,SYNTHETIC_DEMO_DATA
PID-00119,UNIT-39,74.4,5,6,0.63,5.7,2,26.5,False,3,3,3,3,4,0.545,0,SYNTHETIC_DEMO_DATA
PID-00120,UNIT-09,48.6,7,12,0.24,1.9,3,20.3,False,2,2,3,3,2,0.44,0,SYNTHETIC_DEMO_DATA
PID-00121,UNIT-09,37.7,4,3,0.31,0.1,0,25.0,False,2,3,3,3,2,0.403,0,SYNTHETIC_DEMO_DATA
PID-00122,UNIT-31,54.5,9,3,0.27,1.3,2,24.8,False,2,4,2,2,3,0.465,0,SYNTHETIC_DEMO_DATA
PID-00123,UNIT-15,55.1,5,11,0.12,0.0,0,41.0,False,2,4,4,3,2,0.361,0,SYNTHETIC_DEMO_DATA
PID-00124,UNIT-02,71.0,3,1,0.44,5.2,0,22.5,False,3,2,4,3,3,0.513,0,SYNTHETIC_DEMO_DATA
PID-00125,UNIT-31,63.7,2,13,0.34,6.2,1,13.2,False,4,3,4,4,2,0.474,0,SYNTHETIC_DEMO_DATA
PID-00126,UNIT-15,57.0,5,8,0.27,2.1,2,22.0,False,3,3,4,3,3,0.508,0,SYNTHETIC_DEMO_DATA
PID-00127,UNIT-17,72.5,1,0,0.09,5.4,0,0.0,False,2,3,3,2,3,0.402,0,SYNTHETIC_DEMO_DATA
PID-00128,UNIT-27,35.4,11,9,0.12,9.4,0,19.7,False,2,3,4,3,3,0.469,0,SYNTHETIC_DEMO_DATA
PID-00129,UNIT-24,43.0,7,0,0.2,10.9,1,30.9,False,3,3,3,4,3,0.621,0,SYNTHETIC_DEMO_DATA
PID-00130,UNIT-34,39.0,6,13,0.53,7.3,3,26.0,False,3,3,4,3,4,0.462,0,SYNTHETIC_DEMO_DATA
PID-00131,UNIT-32,46.5,3,7,0.57,4.5,2,23.0,False,4,4,4,3,2,0.452,0,SYNTHETIC_DEMO_DATA
PID-00132,UNIT-38,32.7,7,20,0.23,7.2,1,26.5,False,2,4,4,3,2,0.349,0,SYNTHETIC_DEMO_DATA
PID-00133,UNIT-37,60.9,5,15,0.06,9.1,2,31.0,False,2,4,4,3,3,0.421,0,SYNTHETIC_DEMO_DATA
PID-00134,UNIT-26,48.9,9,2,0.29,0.0,0,34.3,True,2,3,3,3,3,0.462,0,SYNTHETIC_DEMO_DATA
PID-00135,UNIT-23,31.4,5,0,0.24,9.4,2,24.5,True,2,4,3,2,3,0.431,0,SYNTHETIC_DEMO_DATA
PID-00136,UNIT-19,37.8,5,4,0.4,3.4,0,16.8,False,3,3,3,4,3,0.567,0,SYNTHETIC_DEMO_DATA
PID-00137,UNIT-27,56.4,6,1,0.46,3.4,0,0.0,True,2,3,3,2,3,0.408,0,SYNTHETIC_DEMO_DATA
PID-00138,UNIT-03,63.7,5,19,0.13,3.9,2,29.8,False,3,4,4,3,3,0.394,0,SYNTHETIC_DEMO_DATA
PID-00139,UNIT-17,80.0,6,8,0.08,6.0,1,25.2,False,2,3,3,3,4,0.425,0,SYNTHETIC_DEMO_DATA
PID-00140,UNIT-12,92.8,8,14,0.41,1.7,1,21.5,False,3,3,3,3,3,0.548,0,SYNTHETIC_DEMO_DATA
PID-00141,UNIT-23,57.8,2,7,0.35,4.1,2,13.1,False,3,3,3,2,3,0.453,0,SYNTHETIC_DEMO_DATA
PID-00142,UNIT-37,38.1,7,7,0.29,6.6,1,29.7,False,4,4,4,2,4,0.417,0,SYNTHETIC_DEMO_DATA
PID-00143,UNIT-20,30.0,4,8,0.05,5.7,0,17.4,False,2,5,4,3,3,0.423,0,SYNTHETIC_DEMO_DATA
PID-00144,UNIT-24,55.7,4,15,0.19,6.1,2,19.7,False,2,3,3,2,3,0.447,0,SYNTHETIC_DEMO_DATA
PID-00145,UNIT-17,40.6,11,10,0.14,4.0,1,19.4,False,3,2,3,1,3,0.368,0,SYNTHETIC_DEMO_DATA
PID-00146,UNIT-14,46.2,6,2,0.15,7.1,2,24.5,True,3,3,3,3,2,0.523,0,SYNTHETIC_DEMO_DATA
PID-00147,UNIT-28,43.4,9,18,0.13,8.2,2,8.5,False,3,3,3,2,2,0.44,1,SYNTHETIC_DEMO_DATA
PID-00148,UNIT-10,50.0,6,7,0.32,8.0,1,25.6,False,3,4,3,3,2,0.402,0,SYNTHETIC_DEMO_DATA
PID-00149,UNIT-36,66.9,5,6,0.05,6.3,0,12.8,False,3,4,3,3,3,0.425,0,SYNTHETIC_DEMO_DATA
PID-00150,UNIT-05,54.2,6,0,0.34,7.8,2,13.1,False,3,2,3,3,3,0.466,0,SYNTHETIC_DEMO_DATA
PID-00151,UNIT-09,49.8,2,12,0.14,7.6,0,28.9,False,3,3,3,3,3,0.509,0,SYNTHETIC_DEMO_DATA
PID-00152,UNIT-31,37.5,9,9,0.19,12.0,0,10.0,False,3,2,5,2,3,0.304,0,SYNTHETIC_DEMO_DATA
PID-00153,UNIT-04,30.0,5,9,0.5,8.7,0,28.8,False,2,3,3,2,2,0.372,0,SYNTHETIC_DEMO_DATA
PID-00154,UNIT-17,45.2,5,6,0.17,4.7,1,21.0,False,2,3,4,3,3,0.416,0,SYNTHETIC_DEMO_DATA
PID-00155,UNIT-16,51.2,2,5,0.19,2.3,3,3.5,False,3,4,3,2,2,0.344,0,SYNTHETIC_DEMO_DATA
PID-00156,UNIT-38,76.8,6,6,0.18,4.2,4,33.6,False,3,3,3,4,3,0.614,1,SYNTHETIC_DEMO_DATA
PID-00157,UNIT-07,53.8,7,11,0.55,4.0,0,23.1,False,2,4,4,3,2,0.329,0,SYNTHETIC_DEMO_DATA
PID-00158,UNIT-19,65.8,2,12,0.13,6.5,3,23.9,False,3,2,3,2,2,0.375,0,SYNTHETIC_DEMO_DATA
PID-00159,UNIT-19,45.0,6,7,0.29,2.9,0,30.1,False,2,3,3,2,3,0.393,0,SYNTHETIC_DEMO_DATA
PID-00160,UNIT-33,35.4,1,14,0.14,8.6,2,35.0,False,2,4,5,3,3,0.3,0,SYNTHETIC_DEMO_DATA
PID-00161,UNIT-22,38.5,8,8,0.12,0.8,2,22.0,False,3,3,2,2,1,0.475,0,SYNTHETIC_DEMO_DATA
PID-00162,UNIT-06,41.8,6,5,0.06,0.1,0,26.2,False,3,3,4,3,2,0.37,0,SYNTHETIC_DEMO_DATA
PID-00163,UNIT-35,81.8,6,10,0.16,4.6,2,23.7,False,3,3,3,4,2,0.63,0,SYNTHETIC_DEMO_DATA
PID-00164,UNIT-07,40.5,6,0,0.06,2.5,0,16.6,False,2,3,5,4,2,0.431,0,SYNTHETIC_DEMO_DATA
PID-00165,UNIT-28,63.7,2,10,0.16,1.2,0,4.2,False,2,4,4,3,2,0.393,0,SYNTHETIC_DEMO_DATA
PID-00166,UNIT-11,39.4,3,0,0.04,3.1,1,22.1,True,3,4,5,2,3,0.247,0,SYNTHETIC_DEMO_DATA
PID-00167,UNIT-05,65.0,5,2,0.29,2.7,0,33.8,False,3,3,4,3,2,0.489,0,SYNTHETIC_DEMO_DATA
PID-00168,UNIT-08,57.4,5,0,0.38,5.0,1,25.8,False,3,4,2,3,3,0.57,0,SYNTHETIC_DEMO_DATA
PID-00169,UNIT-38,49.8,10,7,0.26,3.1,4,9.3,False,2,2,2,3,2,0.643,0,SYNTHETIC_DEMO_DATA
PID-00170,UNIT-40,51.4,6,18,0.06,3.4,1,31.0,False,3,5,4,2,2,0.362,0,SYNTHETIC_DEMO_DATA
PID-00171,UNIT-25,42.8,3,8,0.23,5.0,0,16.9,False,2,3,3,2,2,0.358,0,SYNTHETIC_DEMO_DATA
PID-00172,UNIT-33,58.2,5,12,0.06,8.0,1,0.0,False,3,3,4,2,3,0.387,0,SYNTHETIC_DEMO_DATA
PID-00173,UNIT-37,45.6,13,23,0.1,9.4,0,30.2,False,3,4,3,2,2,0.409,0,SYNTHETIC_DEMO_DATA
PID-00174,UNIT-14,34.8,4,11,0.39,5.4,1,10.5,False,2,3,3,2,2,0.443,0,SYNTHETIC_DEMO_DATA
PID-00175,UNIT-31,34.1,10,4,0.14,5.7,0,37.8,False,3,3,3,3,2,0.515,0,SYNTHETIC_DEMO_DATA
PID-00176,UNIT-21,54.4,6,5,0.21,4.5,0,31.5,False,3,3,4,2,2,0.358,0,SYNTHETIC_DEMO_DATA
PID-00177,UNIT-07,74.1,10,9,0.55,6.4,0,17.7,False,3,2,2,4,4,0.574,0,SYNTHETIC_DEMO_DATA
PID-00178,UNIT-22,54.2,5,5,0.03,6.2,1,24.6,False,1,4,4,3,3,0.338,0,SYNTHETIC_DEMO_DATA
PID-00179,UNIT-02,50.3,6,5,0.47,9.0,0,44.2,False,2,3,4,2,4,0.35,0,SYNTHETIC_DEMO_DATA
PID-00180,UNIT-25,56.0,8,14,0.4,0.0,3,30.0,False,2,4,3,3,3,0.438,0,SYNTHETIC_DEMO_DATA
PID-00181,UNIT-11,70.3,6,15,0.51,4.3,3,22.4,False,3,4,2,2,4,0.573,0,SYNTHETIC_DEMO_DATA
PID-00182,UNIT-05,55.1,7,0,0.21,6.0,0,48.9,True,3,3,4,4,2,0.588,0,SYNTHETIC_DEMO_DATA
PID-00183,UNIT-29,46.2,4,4,0.56,4.9,0,21.2,False,3,3,3,4,4,0.588,0,SYNTHETIC_DEMO_DATA
PID-00184,UNIT-14,67.5,6,6,0.09,2.2,1,25.8,False,3,3,3,3,2,0.533,0,SYNTHETIC_DEMO_DATA
PID-00185,UNIT-18,58.0,8,12,0.38,1.1,1,10.6,False,2,4,5,2,1,0.286,0,SYNTHETIC_DEMO_DATA
PID-00186,UNIT-04,73.5,4,15,0.3,7.4,1,3.3,False,3,3,3,3,4,0.426,0,SYNTHETIC_DEMO_DATA
PID-00187,UNIT-04,54.6,6,25,0.01,2.7,1,17.1,False,3,3,3,2,2,0.29,0,SYNTHETIC_DEMO_DATA
PID-00188,UNIT-37,34.9,8,6,0.13,0.0,2,20.4,False,2,3,4,2,2,0.222,0,SYNTHETIC_DEMO_DATA
PID-00189,UNIT-24,32.8,3,6,0.32,7.6,4,23.3,False,2,4,3,4,2,0.495,0,SYNTHETIC_DEMO_DATA
PID-00190,UNIT-17,75.1,6,12,0.43,6.4,4,5.8,False,3,1,4,4,5,0.544,0,SYNTHETIC_DEMO_DATA
PID-00191,UNIT-27,76.1,4,4,0.74,4.7,0,26.6,False,3,3,2,4,4,0.647,0,SYNTHETIC_DEMO_DATA
PID-00192,UNIT-30,49.5,9,8,0.45,2.3,3,11.7,False,3,3,3,3,4,0.499,0,SYNTHETIC_DEMO_DATA
PID-00193,UNIT-05,46.6,3,6,0.24,4.7,1,26.1,False,2,4,4,2,3,0.323,0,SYNTHETIC_DEMO_DATA
